Date,Price,Open,High,Low,Change %
"Jan 02, 1990",12.571,12.5663,12.571,12.5663,-0.05%
"Jan 03, 1990",12.5762,12.5727,12.5762,12.5727,0.04%
"Jan 04, 1990",12.7994,12.7938,12.7994,12.7938,1.77%
"Jan 05, 1990",12.7751,12.7703,12.7751,12.7703,-0.19%
"Jan 08, 1990",12.9199,12.9152,12.9199,12.9152,1.13%
"Jan 09, 1990",12.9456,12.942,12.9456,12.942,0.20%
"Jan 10, 1990",12.9789,12.9753,12.9789,12.9753,0.26%
"Jan 11, 1990",12.9565,12.9517,12.9565,12.9517,-0.17%
"Jan 12, 1990",12.966,12.9605,12.966,12.9605,0.07%
"Jan 15, 1990",12.9308,12.9261,12.9308,12.9261,-0.27%
"Jan 16, 1990",12.9547,12.9499,12.9547,12.9499,0.18%
"Jan 17, 1990",12.9052,12.9005,12.9052,12.9005,-0.38%
"Jan 18, 1990",12.8404,12.8368,12.8404,12.8368,-0.50%
"Jan 19, 1990",12.8419,12.8372,12.8419,12.8372,0.01%
"Jan 22, 1990",12.7877,12.7842,12.7877,12.7842,-0.42%
"Jan 23, 1990",12.9289,12.9239,12.9289,12.9239,1.10%
"Jan 24, 1990",12.9199,12.9163,12.9199,12.9163,-0.07%
"Jan 25, 1990",12.9636,12.9593,12.9636,12.9593,0.34%
"Jan 26, 1990",12.9936,12.9889,12.9936,12.9889,0.23%
"Jan 29, 1990",13.126,13.1217,13.126,13.1217,1.02%
"Jan 30, 1990",13.0538,13.0491,13.0538,13.0491,-0.55%
"Jan 31, 1990",13.1065,13.103,13.1065,13.103,0.40%
"Feb 01, 1990",13.1547,13.1499,13.1547,13.1499,0.37%
"Feb 02, 1990",13.1495,13.1459,13.1495,13.1459,-0.04%
"Feb 05, 1990",13.2817,13.277,13.2817,13.277,1.01%
"Feb 06, 1990",13.302,13.2984,13.302,13.2984,0.15%
"Feb 07, 1990",13.2393,13.2349,13.2393,13.2349,-0.47%
"Feb 08, 1990",13.2321,13.2276,13.2321,13.2276,-0.05%
"Feb 09, 1990",13.2536,13.2488,13.2536,13.2488,0.16%
"Feb 12, 1990",13.2241,13.2193,13.2241,13.2193,-0.22%
"Feb 13, 1990",13.2128,13.2081,13.2128,13.2081,-0.09%
"Feb 14, 1990",13.2332,13.2284,13.2332,13.2284,0.15%
"Feb 15, 1990",13.1645,13.1597,13.1645,13.1597,-0.52%
"Feb 16, 1990",13.2667,13.2619,13.2667,13.2619,0.78%
"Feb 19, 1990",13.3155,13.3108,13.3155,13.3108,0.37%
"Feb 20, 1990",13.3698,13.3651,13.3698,13.3651,0.41%
"Feb 21, 1990",13.3729,13.3682,13.3729,13.3682,0.02%
"Feb 22, 1990",13.3758,13.371,13.3758,13.371,0.02%
"Feb 23, 1990",13.3361,13.3313,13.3361,13.3313,-0.30%
"Feb 26, 1990",13.2173,13.2128,13.2173,13.2128,-0.89%
"Feb 27, 1990",13.1895,13.1862,13.1895,13.1862,-0.21%
"Feb 28, 1990",13.0882,13.0846,13.0882,13.0846,-0.77%
"Mar 01, 1990",12.9965,12.993,12.9965,12.993,-0.70%
"Mar 02, 1990",12.865,12.8607,12.865,12.8607,-1.01%
"Mar 05, 1990",12.8287,12.824,12.8287,12.824,-0.28%
"Mar 06, 1990",12.8632,12.8588,12.8632,12.8588,0.27%
"Mar 07, 1990",12.8912,12.8865,12.8912,12.8865,0.22%
"Mar 08, 1990",12.8087,12.8042,12.8087,12.8042,-0.64%
"Mar 09, 1990",12.6283,12.624,12.6283,12.624,-1.41%
"Mar 12, 1990",12.5977,12.593,12.5977,12.593,-0.24%
"Mar 13, 1990",12.5762,12.5734,12.5762,12.5734,-0.17%
"Mar 14, 1990",12.578,12.5725,12.578,12.5725,0.01%
"Mar 15, 1990",12.6655,12.6608,12.6655,12.6608,0.70%
"Mar 16, 1990",12.6473,12.6426,12.6473,12.6426,-0.14%
"Mar 19, 1990",12.6196,12.6149,12.6196,12.6149,-0.22%
